CRASH DATE,NUMBER OF PERSONS INJURED
01/06/2025,1
01/06/2025,0
01/06/2025,0
01/06/2025,1
01/06/2025,0
01/06/2025,0
01/06/2025,0
01/06/2025,0
01/06/2025,3
01/06/2025,0
01/06/2025,0
01/06/2025,0
01/06/2025,1
01/06/2025,1
01/06/2025,0
01/06/2025,0
01/06/2025,1
01/06/2025,1
01/06/2025,0
01/06/2025,0
01/06/2025,0
01/06/2025,0
01/06/2025,1
01/06/2025,1
01/06/2025,4
01/06/2025,1
01/06/2025,1
01/06/2025,0
01/06/2025,0
01/06/2025,0
01/06/2025,1
01/06/2025,0
01/06/2025,1
01/06/2025,0
01/06/2025,1
01/06/2025,0
01/06/2025,0
01/06/2025,0
01/06/2025,0
01/06/2025,1
01/06/2025,0
01/06/2025,1
01/06/2025,1
01/06/2025,0
01/06/2025,1
01/06/2025,0
01/06/2025,0
01/06/2025,1
01/06/2025,1
01/06/2025,0
01/06/2025,1
01/06/2025,1
01/06/2025,1
01/06/2025,0
01/06/2025,0
01/06/2025,0
01/06/2025,0
01/06/2025,0
01/06/2025,2
01/06/2025,0
01/06/2025,1
01/06/2025,0
01/06/2025,1
01/06/2025,1
01/06/2025,0
01/06/2025,1
01/07/2025,1
01/07/2025,0
01/07/2025,1
01/07/2025,0
01/07/2025,0
01/07/2025,0
01/07/2025,1
01/07/2025,0
01/07/2025,0
01/07/2025,0
01/07/2025,0
01/07/2025,0
01/07/2025,0
01/07/2025,0
01/07/2025,3
01/07/2025,0
01/07/2025,1
01/07/2025,1
01/07/2025,0
01/07/2025,0
01/07/2025,0
01/07/2025,0
01/07/2025,1
01/07/2025,1
01/07/2025,0
01/07/2025,0
01/07/2025,1
01/07/2025,0
01/07/2025,0
01/07/2025,0
01/07/2025,1
01/07/2025,1
01/07/2025,0
01/07/2025,0
01/07/2025,1
01/07/2025,1
01/07/2025,0
01/07/2025,0
01/07/2025,0
01/07/2025,1
01/07/2025,1
01/07/2025,1
01/07/2025,0
01/07/2025,1
01/07/2025,0
01/07/2025,2
01/07/2025,1
01/07/2025,0
01/07/2025,0
01/07/2025,3
01/07/2025,0
01/07/2025,1
01/07/2025,1
01/07/2025,0
01/07/2025,0
01/07/2025,1
01/07/2025,1
01/07/2025,1
01/07/2025,0
01/07/2025,0
01/07/2025,2
01/07/2025,1
01/07/2025,2
01/07/2025,5
01/07/2025,1
01/07/2025,0
01/07/2025,1
01/07/2025,0
01/07/2025,1
01/07/2025,0
01/07/2025,0
01/07/2025,0
01/07/2025,1
01/07/2025,1
01/07/2025,0
01/07/2025,0
01/07/2025,2
01/07/2025,0
01/07/2025,0
01/07/2025,0
01/07/2025,0
01/07/2025,1
01/07/2025,2
01/07/2025,1
01/07/2025,1
01/07/2025,0
01/07/2025,2
01/07/2025,0
01/07/2025,0
01/07/2025,1
01/07/2025,0
01/07/2025,1
01/07/2025,1
01/07/2025,5
01/07/2025,3
01/07/2025,0
01/07/2025,1
01/07/2025,3
